epoch,train_normalized_mse,validation_normalized_mse
1,0.4789749721249381,0.32811338117677874
2,0.3081132044995224,0.28057071648231924
3,0.27326954213472515,0.2552592203888583
4,0.2603974190878344,0.24633184241207495
5,0.25124620818174803,0.23659954348655596
6,0.24498439481952689,0.24129092234556807
7,0.24062048979512937,0.2329945835348678
8,0.23689575427836115,0.22720993254078578
9,0.23329409048124983,0.2269142535655466
10,0.23339709762361024,0.22639614777409867
